cell_type,B cell,B cell memory,B cell naive,B cell plasma,Cancer associated fibroblast,Class-switched memory B cell,Common lymphoid progenitor,Common myeloid progenitor,Endothelial cell,Eosinophil,Granulocyte-monocyte progenitor,Hematopoietic stem cell,immune score,Macrophage,Macrophage M1,Macrophage M2,Mast cell,microenvironment score,Monocyte,Myeloid dendritic cell,Myeloid dendritic cell activated,Neutrophil,NK cell,Plasmacytoid dendritic cell,stroma score,T cell CD4+ (non-regulatory),T cell CD4+ central memory,T cell CD4+ effector memory,T cell CD4+ memory,T cell CD4+ naive,T cell CD4+ Th1,T cell CD4+ Th2,T cell CD8+,T cell CD8+ central memory,T cell CD8+ effector memory,T cell CD8+ naive,T cell gamma delta,T cell NK,T cell regulatory (Tregs)
TCGA-61-1919,0.05858505,0.001466018,0,0.025166778,0.056765934,0.022853506,0.013132787,1.13E-18,0.016365125,2.48E-18,0.019871307,0.053440741,0.255544029,0.115033588,0.091687409,0,0.008102587,0.293804224,0.119901777,0.075793608,0.265529021,0.00170462,0,0.136672876,0.038260196,6.94E-19,3.77E-19,0.017062654,0.010227702,0,0,0.165979405,0.004194813,0.032597419,0.007587644,0.000343353,6.23E-18,0.061709174,0.006101512
TCGA-61-2104,0.092336669,2.29E-18,7.15E-18,0.042458696,0.04134121,0.065287991,0,7.97E-20,0.009767505,4.57E-20,4.44E-18,0.044411992,0.17014319,0.057662177,0.054669088,1.09E-18,0.02300926,0.195697548,0.038117588,0.035327637,0.225256896,0,0,0.052379482,0.025554357,1.98E-19,0.011631761,0.059368746,8.30E-19,0.014743643,0.016514677,0.004510564,0.008761455,0.036159473,0.000577219,6.03E-20,1.89E-19,0.05824543,0.010242495
TCGA-13-1481,0.068342959,0.006235406,0,0.051278531,0.113332389,0.016931709,0.029743323,1.42E-20,0.009434494,8.33E-19,0.00561455,0.075138199,0.085637142,0.020120455,0.018445646,0,0.00855355,0.178325203,0.010268382,0.013083132,0.163928874,9.71E-20,0,0.067847882,0.09268806,2.75E-18,1.55E-18,0.019513332,7.08E-21,0,0.001984561,0.073036269,0.008087235,0.024970496,0,0.004633204,0,0.061628298,0.003190144
TCGA-23-2078,0.166420438,0.038241008,0.023324706,0.035236458,0.094489993,0.049527696,0.006136388,0.000616586,0.022784785,8.72E-20,6.99E-20,0.010755446,0.214034674,0.028410547,0.032097847,0.001339117,0.009040182,0.308793838,0.044765335,0.025414158,0.26298515,2.52E-19,0,0.103918888,0.094759163,0.002817273,0.004708111,0.028997865,0.012273514,0.06706433,0.010838145,0.103735523,0.044184078,0.064212624,0.035172841,0.000815605,0.002610162,0.044573965,0
TCGA-23-1119,0.089539704,0.006134054,0.001923497,0.044929545,0.016608494,0.018783673,0.030925504,8.69E-20,0.020226151,0,1.15E-19,0.069363387,0.160161501,0.081807482,0.066028082,0.00154359,0.014814308,0.179333701,0.02966886,0.024411897,0.193384521,0,4.74E-18,0.05399816,0.0191722,0,2.76E-18,0.006285323,0.006190431,1.25E-19,2.96E-18,0.145363386,0,0.042142002,0,0.002723371,0,0.039913729,2.08E-18
TCGA-13-0885,0.119046999,0.007947417,0.000171802,0.017826613,0.003903649,0.055912804,0.009010155,2.98E-19,0.001935788,4.90E-19,0.029309422,0.067022908,0.292508117,0.091150744,0.078838392,0.009053888,0.034831236,0.304933193,0.05342646,0.074919715,0.326129898,0,0.017977248,0.19098098,0.012425076,0.001000425,2.64E-20,0.0422597,0.03200808,0.029207571,0.040694682,0.127335249,0.046409349,0.100163244,0.065838321,0,0.018485724,0.096905388,0.030977176
TCGA-13-0906,0.016179127,0,0,0.026644967,0.027387138,0.007162125,0.018480337,0,0,2.94E-19,0.000715415,0.024321131,0.039064988,0.030988503,0.0210447,2.58E-20,0.003388911,0.053741411,3.61E-20,0.008040942,0.120148378,7.08E-21,0,0.043122219,0.014676422,0,2.65E-18,0,0.004006141,0,6.56E-18,0.209742919,0,0.017337813,0,0.009092563,0,0.019355582,1.25E-18
TCGA-13-1492,0.018519533,0,1.08E-19,0.002888742,0.005043657,0.004620228,0.003399074,4.25E-19,0,0.000370475,0,0.000339175,0.04399945,0.014284436,0.015473793,0.002934815,0.001680159,0.047056954,1.35E-19,0.001042172,0.039923053,0.000759959,7.62E-18,0.020594327,0.003057504,0,2.10E-18,0,0,4.15E-18,0.013332568,0.151991753,0.029342441,0.025943649,3.96E-19,0.008924015,1.22E-17,0.043801046,1.22E-19
TCGA-13-0890,0.105530621,0.011622472,0,0.036069116,0.091185075,0.02343743,0.005322521,0.002713599,0.032874914,0,2.97E-18,0.060609266,0.168590969,0.064620842,0.057474019,0.021036355,0.002852014,0.280289946,0.042096854,0.037786122,0.189478611,0,2.93E-18,0.112766274,0.111698978,1.03E-17,0,0.005712524,0,1.20E-18,0.035012974,0.133303439,0,0.012502278,0,7.42E-20,0,0.058236697,2.10E-20
TCGA-13-0886,0.076955067,0.006170136,1.64E-18,0.029685941,0.105118894,0.020802824,0.013853274,6.87E-20,0.038232526,2.68E-18,0.005298702,0.1276653,0.176049866,0.093418824,0.071201269,0.007806273,0.012385458,0.301767724,0.041979088,0.039336363,0.298850528,0,2.88E-18,0.143228074,0.125717857,0,0,0.018658891,9.83E-20,0.003433748,0.010278584,0.093495899,0,0.047632797,0.012190826,0,0.00213157,0.095499429,0.011549866
TCGA-59-2348,0.048564667,1.23E-19,0,0.063740614,0,0.011870368,0.017179337,0,0.023025168,5.20E-21,0.01294115,0.032268948,0.102386073,0.04264433,0.033028477,0.000902756,0.021629552,0.120039862,0.037695639,0.000490296,0.117205159,0.00209616,0,0.044047942,0.017653789,1.26E-18,0,0.04349115,0.000281954,0,1.04E-18,0.158599716,0.000458466,0.010455913,0,9.93E-22,1.04E-17,0.053316189,0
TCGA-04-1331,0.009378647,1.10E-19,0,0.008047919,0.046352991,0.001739983,0.011083526,2.07E-19,0.008726538,0,0,0.065468143,0.017221976,0.003559078,0.00602815,2.25E-19,0.008617399,0.05840077,0,0.004277841,0.117058691,3.22E-19,0,0.023692669,0.041178793,3.28E-18,0.008985631,0.015218288,0,2.10E-18,0.014247387,0.037283637,0,4.27E-19,8.14E-19,0,4.82E-20,0.051668334,1.16E-19
TCGA-04-1341,0.070058508,0.011639881,0,0.049604994,0.002777747,0.020587604,0.012325877,1.36E-18,0.004029302,1.26E-18,3.31E-18,0.019753687,0.060031807,0.017572073,0.011339795,0.013521923,0.00241713,0.070109796,0,4.22E-21,0.082305458,0,1.01E-18,0.060413379,0.010077989,0,1.69E-17,6.67E-18,9.16E-19,5.11E-18,0.032542869,0.103193599,4.00E-18,6.36E-19,0,0.004800047,8.26E-18,0.082587459,2.90E-18
TCGA-04-1365,0.061206045,1.87E-19,0,0.01757538,6.25E-19,0.031011331,0.009575166,6.27E-19,0.004468127,4.27E-18,3.80E-18,0.034009672,0.154580602,0.061804115,0.044909575,0.001524855,0.00017849,0.157515711,0.060607582,0.040320943,0.251328418,1.71E-19,1.83E-18,0.111524194,0.002935109,1.97E-18,0,0.019080291,0.012056854,0.010995416,0.061695944,0.181271048,0.007753727,0.076650324,0.014076489,0,0.002458219,0.047750786,0.00407002
TCGA-04-1514,0.025155608,1.81E-18,1.09E-18,0.002283429,0.021564253,0.026844334,0.006522433,3.00E-05,0.011616074,6.05E-21,3.01E-18,0.055962664,0.022291528,3.10E-19,1.03E-18,0,0.003297027,0.038881691,7.38E-18,0,5.92E-18,0,5.98E-19,0,0.016590163,0,0.009190795,0,0,0.000289016,0.008878822,0.031145689,0.004984657,0,4.77E-18,0,8.66E-19,0.092259182,0.005029029
TCGA-04-1530,0.053158412,0,5.62E-19,0.011418603,0.025068497,0.028370054,0.011914555,0,3.98E-21,0,0.001801354,0.034635567,0.131791623,0.064668161,0.042121163,0.011455064,0.00234766,0.145403525,0.032969989,0.044543213,0.289004436,1.95E-19,2.03E-19,0.115933583,0.013611903,0,0.008797781,0.015125995,0,0,0.021649909,0.081166259,0,0.004368478,0,0.000111101,3.36E-18,0.096512937,0.013062089
TCGA-09-0364,0.021179234,0.000249036,0,0.00404856,0.043412779,0.00384012,0.004603065,0.005521159,0.009731054,1.03E-18,1.35E-18,0.006819807,0.021014795,4.21E-19,1.82E-19,1.78E-19,0.009949812,0.047586712,5.50E-18,0,1.20E-18,0,3.59E-18,0.004014841,0.026571917,2.99E-20,5.61E-20,0,1.13E-19,2.44E-18,0.013815614,0.111520296,0.000393147,0,0,0.002808518,0,0.018431161,6.32E-19
TCGA-09-0369,0,1.91E-18,1.57E-18,0.005718904,0.051856791,0,0.00491972,0,0.079753413,5.75E-19,0,0.089728844,0.033517226,0.020518539,0.021461525,0.015105324,0,0.10311314,0.019945023,0.009812276,0.065950922,2.01E-19,2.09E-19,0.033211035,0.069595914,0,0.014238592,7.40E-20,5.34E-20,0,0.043569851,0.052917967,8.39E-20,2.55E-18,0,4.64E-20,1.75E-18,0.053390577,4.73E-18
TCGA-09-1666,0.052488542,5.28E-18,5.22E-20,0.03477342,0,0.011977613,0.023458763,8.39E-21,5.78E-20,1.27E-18,0.003526499,0.043130224,0.162187298,0.065254687,0.045706732,0.001591153,0.017963517,0.162187298,0.036267669,0.040014692,0.185237686,0.000257188,0.010956911,0.067537427,2.89E-20,3.35E-19,3.63E-19,0.042566135,0.011679985,0.013304752,0.02204141,0.076922909,0.020077741,0.064166472,0.020512899,0,0,0.030266151,0.001812691
TCGA-09-1669,0.133830246,0.015980059,1.32E-19,0.047895416,0.071600055,0.028193869,0.013393452,1.69E-20,0.017353825,0,0,0.059970796,0.177837189,0.042464124,0.041634569,4.00E-19,0.007075088,0.222314129,0.017906097,0.033640973,0.200864558,3.90E-19,0,0.048917375,0.04447694,0,0.000260808,0.034452901,0.00836219,7.39E-20,0.008341232,0.107339281,0.031839256,0.069062107,0.002284725,0.010708243,2.31E-18,0.013291452,0.016278984
TCGA-09-1670,0.059044518,1.11E-18,2.66E-18,0.017785949,0,0.01798518,0.018173321,9.70E-20,0.000742723,0.00120551,0.01525352,0.017181114,0.14348208,0.061449405,0.04484746,1.26E-19,0.029895999,0.143853442,0.051825114,0.005797978,0.109322915,0.001766483,4.34E-18,0.042750621,0.000371361,0,0.003107204,0.043827584,0.006457265,5.97E-19,0.011119112,0.018656007,0.004238114,0.015134532,2.25E-18,0.00335697,0.011678003,0.014617414,0.002128888
TCGA-09-1674,0.048708465,0,7.54E-19,0.005987266,0.001357355,0.031530007,0.002318381,0,0.012048839,0,0,0.007168356,0.035185014,4.24E-19,0,0.001473256,0.004069055,0.041888111,1.54E-17,0,1.48E-18,0,1.50E-19,4.54E-21,0.006703097,0,0,1.26E-17,0,2.42E-18,0.014223955,0.098862902,1.23E-18,0,0,3.40E-20,0,0.008187184,0
